t,ax,ay,az,dt,vx,vy,vz,x,y,z
5.303,682.3973,4.799713,-298.723,0.09999999999999964,235.25182472299988,382.3668065699997,-175.4483671330001,-132.56162379849405,519.5089082248797,-99.16751648707309
5.403,748.9788,216.0405,-265.6717,0.09999999999999964,310.1497047229996,403.9708565699996,-202.015537133,-101.5466533261942,559.9059938818796,-119.36907020037302
5.503,473.7911,232.3266,-196.6951,0.10000000000000053,357.52881472299987,427.20351656999975,-221.68504713300013,-65.79377185389403,602.6263455388797,-141.53757491367315
5.603,184.9517,251.2472,-102.5709,0.09999999999999964,376.0239847229998,452.32823656999966,-231.94213713300007,-28.191373381594182,647.8591691958795,-164.73178862697307
5.703,-17.66698,458.6559,-41.73737,0.10000000000000053,374.25728672299977,498.1938265699999,-236.1158741330001,9.234355290705992,697.6785518528798,-188.3433760402732
5.803,1155.653,118.3236,-295.6094,0.09999999999999964,489.82258672299935,510.0261865699998,-265.676814133,58.216613963005756,748.6811705098796,-214.9110574535731
5.903,152.8584,245.4992,-1.980042,0.09999999999999964,505.1084267229993,534.5761065699998,-265.874818333,108.72745663530551,802.1387811668794,-241.498539286873
6.003,68.55373,297.7106,18.37762,0.10000000000000053,511.96379972299934,564.3471665699999,-264.037056333,159.92383660760572,858.5734978238797,-267.90224492017313
6.103,166.989,412.9111,7.600037,0.09999999999999964,528.6626997229993,605.6382765699998,-263.27705263300004,212.79010657990545,919.1373254808796,-294.229950183473
6.203,97.53348,151.1354,-12.03912,0.10000000000000053,538.4160477229993,620.7518165699998,-264.48096463300004,266.6317113522057,981.2125071378798,-320.67804664677317
6.303,200.0403,158.7995,14.30609,0.09999999999999964,558.4200777229993,636.6317665699997,-263.05035563300004,322.4737191245054,1044.8756837948795,-346.98308221007306
6.403,175.3716,14.8588,-15.15265,0.09999999999999964,575.9572377229993,638.1176465699997,-264.56562063300004,380.0694428968051,1108.6874484518792,-373.43964427337295
6.503,44.60353,15.0983,-37.42633,0.10000000000000053,580.4175907229993,639.6274765699997,-268.30825363300005,438.11120196910537,1172.6501961088795,-400.2704696366731
6.603,46.28004,165.266,24.12567,0.09999999999999964,585.0455947229993,656.1540765699996,-265.8956866330001,496.6157614414051,1238.2656037658792,-426.86003829997304
6.703,57.77614,89.82291,8.797546,0.10000000000000053,590.8232087229994,665.1363675699996,-265.01593203300007,555.6980823137053,1304.7792405228795,-453.3616315032732
6.803,135.6143,95.81046,11.91107,0.09999999999999964,604.3846387229994,674.7174135699996,-263.8248250330001,616.136546186005,1372.2509818798792,-479.7441140065731
6.903,123.6392,52.2211,-25.93024,0.09999999999999964,616.7485587229994,679.9395235699996,-266.4178490330001,677.8114020583048,1440.2449342368789,-506.38589890987305
7.003,232.1336,34.97696,-53.23346,0.10000000000000053,639.9619187229995,683.4372195699996,-271.7411950330001,741.8075939306051,1508.5886561938792,-533.5600184131732
7.103,175.6111,110.6596,-2.459045,0.09999999999999964,657.5230287229995,694.5031795699995,-271.9870995330001,807.5598968029049,1578.0389741508789,-560.7587283664732
7.203,115.4961,91.97842,-0.303528,0.10000000000000053,669.0726387229995,703.7010215699995,-272.0174523330001,874.4671606752052,1648.409076307879,-587.9604735997733
7.303,137.2908,116.8866,-23.05621,0.09999999999999964,682.8017187229995,715.3896815699994,-274.3230733330001,942.7473325475048,1719.9480444648789,-615.3927809330733
