device,kernel
"{'time': 1244.432, 's2': {'ax': 8.499416, 'ay': -1.314417, 'wz': 0.03130934, 'az': -0.3184288, 'wx': -0.0006661562, 'wy': -0.002264931}, 's3': {'ax': 8.480263, 'ay': -1.316811, 'wz': 0.03024349, 'az': -0.3567361, 'wx': -0.0001332312, 'wy': -0.004663095}, 's1': {'ax': 20068, 'ay': 20212, 'wz': 20116, 'az': 20020, 'wx': 20100, 'wy': 20180}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.452, 's2': {'ax': 8.549694, 'ay': -1.30484, 'wz': -0.008926495, 'az': -0.05027823, 'wx': -0.02251608, 'wy': 0.008260338}, 's3': {'ax': 8.568848, 'ay': -1.285686, 'wz': -0.009725882, 'az': -0.05027823, 'wx': -0.01745329, 'wy': 0.008127107}, 's1': {'ax': 19508, 'ay': 19732, 'wz': 19780, 'az': 19636, 'wx': 19732, 'wy': 19732}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.472, 's2': {'ax': 8.348581, 'ay': -1.381454, 'wz': -0.0001332312, 'az': -0.308852, 'wx': -0.03690505, 'wy': 0.02917764}, 's3': {'ax': 8.327033, 'ay': -1.23062, 'wz': -0.0006661562, 'az': -0.308852, 'wx': -0.0358392, 'wy': 0.0315758}, 's1': {'ax': 21029, 'ay': 20933, 'wz': 20949, 'az': 20885, 'wx': 21029, 'wy': 21205}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.472, 's2': {'ax': 8.348581, 'ay': -1.381454, 'wz': -0.0001332312, 'az': -0.308852, 'wx': -0.03690505, 'wy': 0.02917764}, 's3': {'ax': 8.327033, 'ay': -1.23062, 'wz': -0.0006661562, 'az': -0.308852, 'wx': -0.0358392, 'wy': 0.0315758}, 's1': {'ax': 21029, 'ay': 20933, 'wz': 20949, 'az': 20885, 'wx': 21029, 'wy': 21205}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.492, 's2': {'ax': 8.559271, 'ay': -1.501164, 'wz': -0.01931853, 'az': -0.3950433, 'wx': -0.0002664625, 'wy': 0.01585452}, 's3': {'ax': 8.578424, 'ay': -1.501164, 'wz': -0.01732006, 'az': -0.3854665, 'wx': -0.0006661562, 'wy': 0.01265697}, 's1': {'ax': 24149, 'ay': 24229, 'wz': 24133, 'az': 24053, 'wx': 24309, 'wy': 24261}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.512, 's2': {'ax': 9.296685, 'ay': -1.405396, 'wz': -0.0001332312, 'az': -0.3854665, 'wx': -0.003064319, 'wy': 0.008393569}, 's3': {'ax': 9.181764, 'ay': -1.386243, 'wz': -0.0001332312, 'az': -0.4812346, 'wx': -0.005462481, 'wy': 0.009992343}, 's1': {'ax': 24117, 'ay': 24053, 'wz': 24133, 'az': 24261, 'wx': 24485, 'wy': 24325}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.532, 's2': {'ax': 9.114726, 'ay': -1.297657, 'wz': -0.00106585, 'az': -0.4620809, 'wx': -0.008793262, 'wy': -0.001199081}, 's3': {'ax': 9.112331, 'ay': -1.283292, 'wz': -0.004396631, 'az': -0.4860229, 'wx': -0.009859112, 'wy': -0.0001332312}, 's1': {'ax': 20452, 'ay': 20324, 'wz': 20212, 'az': 20324, 'wx': 20404, 'wy': 20485}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.552, 's2': {'ax': 9.131485, 'ay': -1.400608, 'wz': -0.01185758, 'az': -0.6153098, 'wx': -0.01079173, 'wy': 0.008393569}, 's3': {'ax': 9.13388, 'ay': -1.381454, 'wz': -0.01119142, 'az': -0.4788404, 'wx': -0.01025881, 'wy': 0.008127107}, 's1': {'ax': 19540, 'ay': 19780, 'wz': 19620, 'az': 19396, 'wx': 19668, 'wy': 19652}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -28, 'wy': -74, 'wz': 99, 'ax': 398, 'ay': 43, 'az': 328}"
"{'time': 1244.552, 's2': {'ax': 9.131485, 'ay': -1.400608, 'wz': -0.01185758, 'az': -0.6153098, 'wx': -0.01079173, 'wy': 0.008393569}, 's3': {'ax': 9.13388, 'ay': -1.381454, 'wz': -0.01119142, 'az': -0.4788404, 'wx': -0.01025881, 'wy': 0.008127107}, 's1': {'ax': 19540, 'ay': 19780, 'wz': 19620, 'az': 19396, 'wx': 19668, 'wy': 19652}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -24, 'wy': -31, 'wz': 70, 'ax': 390, 'ay': 28, 'az': 305}"
"{'time': 1244.572, 's2': {'ax': 9.19134, 'ay': -1.381454, 'wz': -0.0006661562, 'az': -0.3878607, 'wx': -0.002531394, 'wy': -0.001332312}, 's3': {'ax': 9.19134, 'ay': -1.307234, 'wz': -0.0001332312, 'az': -0.3854665, 'wx': -0.0007993876, 'wy': -0.001332312}, 's1': {'ax': 20821, 'ay': 20773, 'wz': 20725, 'az': 20821, 'wx': 20917, 'wy': 20837}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -74, 'wy': -81, 'wz': 72, 'ax': 387, 'ay': 14, 'az': 294}"
"{'time': 1244.592, 's2': {'ax': 9.19134, 'ay': -1.285686, 'wz': -0.03104288, 'az': -0.4620809, 'wx': -0.008660031, 'wy': -0.002264931}, 's3': {'ax': 9.186552, 'ay': -1.266533, 'wz': -0.03130934, 'az': -0.4620809, 'wx': -0.009725882, 'wy': -0.0003996938}, 's1': {'ax': 24069, 'ay': 24101, 'wz': 24149, 'az': 24005, 'wx': 24261, 'wy': 24245}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -124, 'wy': -136, 'wz': 60, 'ax': 400, 'ay': 13, 'az': 301}"
"{'time': 1244.612, 's2': {'ax': 9.160215, 'ay': -1.276109, 'wz': -0.01771976, 'az': -0.4620809, 'wx': -0.001332312, 'wy': -0.0001332312}, 's3': {'ax': 9.19134, 'ay': -1.266533, 'wz': -0.02171669, 'az': -0.4620809, 'wx': -0.00106585, 'wy': -0.004396631}, 's1': {'ax': 23973, 'ay': 24261, 'wz': 24229, 'az': 24085, 'wx': 24389, 'wy': 24149}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -124, 'wy': -136, 'wz': 60, 'ax': 400, 'ay': 13, 'az': 301}"
"{'time': 1244.632, 's2': {'ax': 8.537724, 'ay': -1.252167, 'wz': -0.02571363, 'az': -0.3519476, 'wx': -0.02624655, 'wy': 0.03290812}, 's3': {'ax': 8.561666, 'ay': -1.247379, 'wz': -0.01931853, 'az': -0.4620809, 'wx': -0.01958499, 'wy': 0.03397397}, 's1': {'ax': 20356, 'ay': 20324, 'wz': 20436, 'az': 20420, 'wx': 20485, 'wy': 20468}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -94, 'wy': -125, 'wz': 66, 'ax': 404, 'ay': 20, 'az': 337}"
"{'time': 1244.632, 's2': {'ax': 8.537724, 'ay': -1.252167, 'wz': -0.02571363, 'az': -0.3519476, 'wx': -0.02624655, 'wy': 0.03290812}, 's3': {'ax': 8.561666, 'ay': -1.247379, 'wz': -0.01931853, 'az': -0.4620809, 'wx': -0.01958499, 'wy': 0.03397397}, 's1': {'ax': 20356, 'ay': 20324, 'wz': 20436, 'az': 20420, 'wx': 20485, 'wy': 20468}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': 43, 'wy': -141, 'wz': 41, 'ax': 410, 'ay': 18, 'az': 340}"
"{'time': 1244.692, 's2': {'ax': 8.422802, 'ay': -1.233014, 'wz': -0.02571363, 'az': -0.3399766, 'wx': -0.03637213, 'wy': -0.001332312}, 's3': {'ax': 8.413225, 'ay': -1.343147, 'wz': -0.02677948, 'az': -0.3782839, 'wx': -0.03464013, 'wy': -0.009859112}, 's1': {'ax': 24005, 'ay': 24213, 'wz': 24005, 'az': 23941, 'wx': 24085, 'wy': 24165}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': 54, 'wy': 21, 'wz': -62, 'ax': 390, 'ay': 18, 'az': 317}"
