device,kernel
"{'time': 169.817, 's2': {'ax': -7.395689, 'ay': -4.383783, 'wz': -0.4830965, 'az': 6.110003, 'wx': -0.360657, 'wy': -0.3722481}, 's3': {'ax': -7.395689, 'ay': -4.383783, 'wz': -0.4781669, 'az': 6.110003, 'wx': -0.3702496, 'wy': -0.3671853}, 's1': {'ax': 18356, 'ay': 17972, 'wz': 18804, 'az': 17636, 'wx': 19892, 'wy': 19300}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.837, 's2': {'ax': -7.127539, 'ay': -3.689465, 'wz': -0.03477335, 'az': 5.513846, 'wx': -0.2800521, 'wy': -0.1368285}, 's3': {'ax': -7.098808, 'ay': -3.682282, 'wz': -0.03424043, 'az': 5.432444, 'wx': -0.2751225, 'wy': -0.1963829}, 's1': {'ax': 18500, 'ay': 18116, 'wz': 18708, 'az': 17732, 'wx': 19796, 'wy': 19220}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.857, 's2': {'ax': -6.246472, 'ay': -2.715025, 'wz': -0.2796524, 'az': 5.815516, 'wx': -0.03464013, 'wy': -0.2090398}, 's3': {'ax': -6.744466, 'ay': -2.628834, 'wz': -0.273657, 'az': 5.815516, 'wx': -0.01452221, 'wy': -0.2053094}, 's1': {'ax': 18212, 'ay': 17828, 'wz': 18644, 'az': 17492, 'wx': 19476, 'wy': 19156}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.877, 's2': {'ax': -6.629545, 'ay': -3.679888, 'wz': -0.2047764, 'az': 9.785102, 'wx': -0.03424043, 'wy': -0.371049}, 's3': {'ax': -6.639122, 'ay': -3.689465, 'wz': -0.2050429, 'az': 9.785102, 'wx': -0.04330016, 'wy': -0.3412052}, 's1': {'ax': 18388, 'ay': 17972, 'wz': 18852, 'az': 17620, 'wx': 19652, 'wy': 19236}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.897, 's2': {'ax': -5.063736, 'ay': -3.871424, 'wz': -0.001199081, 'az': 9.574412, 'wx': 0.1358959, 'wy': -0.4595146}, 's3': {'ax': -4.910508, 'ay': -3.782839, 'wz': -0.0001332312, 'az': 9.440337, 'wx': 0.2087734, 'wy': -0.4484563}, 's1': {'ax': 18420, 'ay': 18004, 'wz': 18884, 'az': 17652, 'wx': 19700, 'wy': 19396}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.917, 's2': {'ax': -6.550536, 'ay': -3.689465, 'wz': 0.2727244, 'az': 9.698911, 'wx': 0.5411853, 'wy': -0.144023}, 's3': {'ax': -6.612785, 'ay': -3.79481, 'wz': 0.2727244, 'az': 9.775525, 'wx': 0.5454487, 'wy': -0.004663095}, 's1': {'ax': 18372, 'ay': 17972, 'wz': 18836, 'az': 17812, 'wx': 19940, 'wy': 19364}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.937, 's2': {'ax': -6.744466, 'ay': -4.304775, 'wz': 0.1597443, 'az': 6.1938, 'wx': 0.2727244, 'wy': -0.1709357}, 's3': {'ax': -6.845023, 'ay': -4.292804, 'wz': 0.1529495, 'az': 6.155493, 'wx': 0.2727244, 'wy': -0.1730674}, 's1': {'ax': 18404, 'ay': 17988, 'wz': 18868, 'az': 17636, 'wx': 19684, 'wy': 19412}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -507, 'wy': -760, 'wz': 602, 'ax': 109, 'ay': 288, 'az': 248}"
"{'time': 169.957, 's2': {'ax': -6.775591, 'ay': -4.307169, 'wz': 0.06648239, 'az': 5.425261, 'wx': 0.2372849, 'wy': -0.136562}, 's3': {'ax': -6.751649, 'ay': -4.343082, 'wz': 0.06594947, 'az': 5.2026, 'wx': 0.2382174, 'wy': -0.1738668}, 's1': {'ax': 18436, 'ay': 18004, 'wz': 18900, 'az': 17652, 'wx': 19668, 'wy': 19220}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -692, 'wy': -1551, 'wz': 1044, 'ax': 229, 'ay': 259, 'az': 325}"
"{'time': 170.017, 's2': {'ax': -6.861782, 'ay': -4.299986, 'wz': 0.1357626, 'az': 9.780313, 'wx': 0.2211639, 'wy': -0.2399495}, 's3': {'ax': -6.823475, 'ay': -4.314352, 'wz': 0.1277688, 'az': 9.799467, 'wx': 0.2212971, 'wy': -0.22183}, 's1': {'ax': 18484, 'ay': 18068, 'wz': 18964, 'az': 17700, 'wx': 19828, 'wy': 19476}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': 500, 'wy': 973, 'wz': -91, 'ax': 204, 'ay': 226, 'az': 324}"
"{'time': 170.037, 's2': {'ax': -6.868965, 'ay': -4.321534, 'wz': 0.1361623, 'az': 5.506664, 'wx': 0.2689939, 'wy': 0.5455819}, 's3': {'ax': -6.751649, 'ay': -4.316746, 'wz': 0.1332313, 'az': 5.882554, 'wx': 0.2683277, 'wy': 0.2855146}, 's1': {'ax': 18340, 'ay': 17956, 'wz': 18788, 'az': 17796, 'wx': 19892, 'wy': 19316}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': 50, 'wy': -162, 'wz': 92, 'ax': 198, 'ay': 214, 'az': 300}"
"{'time': 170.057, 's2': {'ax': -4.982334, 'ay': -3.948039, 'wz': -0.0006661562, 'az': 7.496245, 'wx': -0.01838591, 'wy': 0.09992343}, 's3': {'ax': -4.987122, 'ay': -3.928885, 'wz': -0.009326189, 'az': 7.575254, 'wx': -0.03424043, 'wy': -0.001199081}, 's1': {'ax': 18452, 'ay': 18052, 'wz': 18948, 'az': 17684, 'wx': 19716, 'wy': 19172}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -166, 'wy': 497, 'wz': 147, 'ax': 240, 'ay': 187, 'az': 390}"
"{'time': 170.077, 's2': {'ax': -6.596025, 'ay': -3.871424, 'wz': -0.06888055, 'az': 6.58166, 'wx': -0.008660031, 'wy': -0.7504916}, 's3': {'ax': -6.596025, 'ay': -3.842694, 'wz': -0.06901378, 'az': 6.500257, 'wx': -0.009992343, 'wy': -0.7504916}, 's1': {'ax': 18356, 'ay': 18100, 'wz': 18788, 'az': 17828, 'wx': 19876, 'wy': 19300}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -46, 'wy': 328, 'wz': 240, 'ax': 304, 'ay': 201, 'az': 388}"
"{'time': 170.104, 's2': {'ax': -7.050924, 'ay': -4.005499, 'wz': -0.001199081, 'az': 6.126762, 'wx': -0.01292343, 'wy': -0.342804}, 's3': {'ax': -7.137115, 'ay': -3.957615, 'wz': -0.0003996938, 'az': 5.935226, 'wx': -0.008793262, 'wy': -0.3436034}, 's1': {'ax': 18468, 'ay': 18308, 'wz': 18932, 'az': 17908, 'wx': 20020, 'wy': 19444}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': 15, 'wy': 399, 'wz': 33, 'ax': 325, 'ay': 206, 'az': 414}"
"{'time': 170.124, 's2': {'ax': -6.926425, 'ay': -3.909731, 'wz': -0.0001332312, 'az': 6.58166, 'wx': -0.02677948, 'wy': -0.7520904}, 's3': {'ax': -6.766014, 'ay': -3.881001, 'wz': -0.0009326189, 'az': 6.43322, 'wx': -0.02065084, 'wy': -0.7816677}, 's1': {'ax': 18388, 'ay': 18004, 'wz': 18868, 'az': 17636, 'wx': 19860, 'wy': 19364}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': 232, 'wy': 266, 'wz': -184, 'ax': 344, 'ay': 240, 'az': 326}"
"{'time': 170.124, 's2': {'ax': -6.926425, 'ay': -3.909731, 'wz': -0.0001332312, 'az': 6.58166, 'wx': -0.02677948, 'wy': -0.7520904}, 's3': {'ax': -6.766014, 'ay': -3.881001, 'wz': -0.0009326189, 'az': 6.43322, 'wx': -0.02065084, 'wy': -0.7816677}, 's1': {'ax': 18388, 'ay': 18004, 'wz': 18868, 'az': 17636, 'wx': 19860, 'wy': 19364}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': 232, 'wy': 266, 'wz': -184, 'ax': 344, 'ay': 240, 'az': 326}"
