t,ax,ay,az,wx,wy,wz,dt,vx,vy,vz,x,y,z
4.513,8.215816,-4.343967,-1.680406,-512,5228,13196,0.09199999999999964,-2.511527089999998,2.655014981000002,-0.4679471389999973,-5.662124310995997,1.2940454362300047,-2.992955423659993
4.605,-2.83271,1.845063,0.873883,632,1164,15384,0.09200000000000053,-2.77213641,2.824760777000003,-0.3875499029999968,-5.917160860715999,1.5539234277140064,-3.028610014735993
4.693,-0.855022,-0.499661,-0.529299,1880,2164,15308,0.08799999999999919,-2.8473783459999993,2.7807906090000034,-0.4341282149999964,-6.167730155163997,1.7986330013060043,-3.066813297655992
4.785,-0.208367,-0.753533,-0.532293,748,-2716,16424,0.09200000000000053,-2.866548109999999,2.711465573000003,-0.48309917099999666,-6.431452581283998,2.048087834022006,-3.111258421387992
4.879,-1.786984,0.473316,-0.241298,1880,3788,15456,0.09399999999999942,-3.034524605999998,2.755957277000003,-0.5057811829999965,-6.7166978942479965,2.3071478180600047,-3.1588018525899915
4.97,0.333507,-0.439486,-0.288001,248,1584,15916,0.09100000000000019,-3.004175468999998,2.715964051000003,-0.5319892739999966,-6.990077861926997,2.5543005467010054,-3.2072128765239913
5.059,0.120948,-0.142803,-0.130229,420,1648,15508,0.08900000000000041,-2.993411096999998,2.703254584000003,-0.5435796549999967,-7.256491449559998,2.7948902046770066,-3.2555914658189913
5.15,0.508044,-0.895438,-0.40895,-164,244,16260,0.09100000000000019,-2.9471790929999977,2.621769726000003,-0.5807941049999968,-7.524684747022998,3.033471249743007,-3.308443729373991
5.238,0.928669,-1.367856,-1.082848,2040,2492,15256,0.08800000000000008,-2.8654562209999974,2.5013983980000027,-0.6760847289999969,-7.776844894470997,3.2535943087670076,-3.367939185525991
5.329,9.408535,-5.401368,-2.135759,-5768,-17016,13640,0.0909999999999993,-2.0092795360000038,2.0098739100000067,-0.8704387979999955,-7.959689332246996,3.436492834577007,-3.44714911614399
5.424,9.809701,-8.939112,-2.01002,6384,19564,-11080,0.09500000000000064,-1.0773579409999976,1.160658270000001,-1.0613906979999967,-8.062038336641997,3.546755370227008,-3.5479812324539903
5.516,1.925296,-1.211581,-0.406854,11644,28408,-9608,0.09199999999999964,-0.9002307089999984,1.0491928180000014,-1.0988212659999965,-8.144859561869996,3.6432811094830075,-3.6490727889259897
5.611,4.398753,-2.80367,-1.737886,4960,11492,-4436,0.09499999999999975,-0.48234917399999944,0.7828441680000021,-1.263920435999996,-8.190682733399996,3.7176513054430074,-3.769145230345989
5.702,-2.666854,1.037043,-0.249381,6852,19768,-7548,0.09100000000000019,-0.7250328879999999,0.8772150810000023,-1.2866141069999961,-8.256660726207995,3.797477877814008,-3.8862271140829887
5.794,0.005089,-0.37512,-0.439187,3484,12476,-3296,0.09199999999999964,-0.7245646999999998,0.8427040410000025,-1.327019310999996,-8.323320678607995,3.875006649586008,-4.008312890694988
5.886,-1.21667,0.601749,0.149689,4832,15964,-4512,0.09200000000000053,-0.8364983400000005,0.8980649490000028,-1.3132479229999958,-8.400278525887996,3.9576286248940087,-4.129131699610989
5.976,-0.068258,-0.15867,-0.233514,4776,15380,-3612,0.08999999999999986,-0.8426415600000005,0.8837846490000028,-1.3342641829999957,-8.476116266287997,4.0371692433040085,-4.249215476080988
6.069,0.235909,-0.612227,-0.393382,5044,15244,-4424,0.09299999999999997,-0.8207020230000005,0.8268475380000028,-1.3708487089999957,-8.552441554426997,4.114066064338009,-4.376704406017988
6.162,1.182541,-0.843945,-0.733774,4608,13076,-4784,0.09299999999999997,-0.7107257100000005,0.7483606530000028,-1.4390896909999957,-8.618539045456997,4.183663605067009,-4.510539747280988
6.254,0.607736,-0.632884,-0.958008,4264,14332,-5440,0.09199999999999964,-0.6548139980000007,0.690135325000003,-1.5272264269999953,-8.678781933272996,4.247156054967009,-4.651044578564987
6.347,1.515149,-0.943338,-0.66851,4552,15380,-7480,0.09300000000000086,-0.5139051409999994,0.6024048910000022,-1.5893978569999958,-8.726575111385996,4.30317970983001,-4.798858579265988
6.438,0.135019,-0.454754,-1.488205,4904,14240,-8244,0.0909999999999993,-0.5016184119999995,0.5610222770000025,-1.7248245119999948,-8.772222386877996,4.35423273703701,-4.955817609857986
6.53,0.251178,0.896336,-0.758024,3328,15104,-8556,0.09200000000000053,-0.4785100359999993,0.643485189000003,-1.7945627199999952,-8.816245310189995,4.4134333744250105,-5.120917380097986
6.621,-0.958906,0.820294,-0.56732,2212,14476,-7780,0.09100000000000019,-0.5657704819999995,0.718131943000003,-1.8461888399999953,-8.867730424051995,4.478783381238011,-5.288920564537986
6.712,0.074246,-0.040416,-0.220042,2500,15048,-7376,0.0909999999999993,-0.5590140959999995,0.7144540870000031,-1.866212661999995,-8.918600706787995,4.54379870315501,-5.458745916779985
6.806,-0.131427,-0.1443,-1.056204,4880,14996,-8584,0.0940000000000003,-0.5713682339999996,0.7008898870000031,-1.9654958379999954,-8.972309320783996,4.609682352533011,-5.643502525551985
6.897,-2.761158,4.54455,-1.061892,7224,14788,-13028,0.09100000000000019,-0.8226336120000002,1.1144439370000039,-2.0621280099999955,-9.047168979475996,4.711096750800012,-5.831156174461984
6.989,-2.462379,8.763975,-2.333647,6364,17416,-11400,0.09199999999999964,-1.0491724799999993,1.9207296370000009,-2.2768235339999947,-9.143692847635997,4.887803877404012,-6.040623939589983
7.083,-9.81,4.04908,-9.804611,6316,18776,-8652,0.0940000000000003,-1.9713124800000024,2.301343157000002,-3.1984569679999977,-9.328996220755997,5.104130134162013,-6.341278894581984
7.17,-9.81,9.809701,-6.591992,5932,116,-19000,0.08699999999999974,-2.8247824799999997,3.1547871439999997,-3.771960271999996,-9.574752296515996,5.378596615690012,-6.669439438245982
7.256,6.375243,4.264332,2.052233,-20828,-6496,4276,0.0860000000000003,-2.2765115819999977,3.521519696000001,-3.5954682339999953,-9.770532292567996,5.681447309546013,-6.978649706369983
7.348,-1.294508,-3.646118,-0.276325,-11328,20144,2372,0.09199999999999964,-2.3956063179999973,3.186076840000002,-3.6208901339999953,-9.990928073823994,5.974566378826013,-7.311771598697981
7.443,2.90486,1.36576,5.301076,-8384,15108,1796,0.09499999999999975,-2.119644617999998,3.3158240400000016,-3.1172879139999967,-10.192294312533994,6.289569662626012,-7.60791395052798
7.531,-0.984652,-0.146096,1.934278,-1576,15140,-460,0.08800000000000008,-2.206293993999998,3.3029675920000017,-2.9470714499999966,-10.386448184005994,6.580230810722012,-7.86725623812798
7.624,0.190105,-0.79335,0.618214,-4532,13772,444,0.09299999999999997,-2.188614228999998,3.2291860420000016,-2.8895775479999966,-10.589989307302995,6.880545112628012,-8.13598695009198
7.713,0.084724,0.00479,1.71214,-3840,16796,-52,0.08900000000000041,-2.1810737929999977,3.2296123520000015,-2.737197087999996,-10.784104874879995,7.167980611956014,-8.37959749092398
7.801,0.452659,-1.055904,2.124981,-5312,17000,168,0.08800000000000008,-2.1412398009999976,3.1366928000000014,-2.550198759999996,-10.972533977367995,7.444009578356014,-8.60401498180398
7.891,-0.433798,-2.107917,1.498983,-1676,16468,144,0.08999999999999986,-2.1802816209999976,2.946980270000002,-2.415290289999996,-11.168759323257994,7.7092378026560135,-8.82139110790398
7.982,-0.056283,-0.513732,3.272495,-508,16800,124,0.09100000000000019,-2.1854033739999976,2.9002306580000017,-2.1174932449999955,-11.367631030291994,7.973158792534014,-9.01408299319898
8.073,-1.621428,-3.366799,3.386857,-1544,16772,160,0.09100000000000019,-2.332953321999998,2.593851949000001,-1.8092892579999948,-11.579929782593995,8.209199319893015,-9.17872831567698
8.165,-5.029242,-9.81,-4.989724,1748,12316,-1716,0.09199999999999875,-2.7956435859999917,1.6913319490000134,-2.268343865999989,-11.83712899250599,8.364801859201014,-9.387415951348975
8.254,0.38949,-8.223899,-0.99064,2320,18328,-688,0.08900000000000041,-2.7609789759999916,0.95940493800001,-2.3565108259999894,-12.082856121369991,8.450188898683015,-9.597145414862975
8.344,3.143463,-4.878954,3.459606,2692,14584,-56,0.08999999999999986,-2.4780673059999923,0.5202990780000107,-2.04514628599999,-12.30588217890999,8.497015815703016,-9.781208580602975
8.433,3.14975,-8.563692,-0.011376,3896,12000,-4388,0.08900000000000041,-2.197739555999991,-0.2418695099999928,-2.04615874999999,-12.501480999393989,8.475489429313017,-9.963316709352975
8.524,4.237389,-4.464316,0.719105,7820,15072,-9916,0.0909999999999993,-1.8121371569999938,-0.6481222659999897,-1.9807201949999904,-12.666385480680987,8.416510303107017,-10.143562247097973
8.616,2.830614,-2.831213,1.226849,3320,15640,-10784,0.09200000000000053,-1.5517206689999923,-0.9085938619999911,-1.8678500869999897,-12.809143782228986,8.332919667803019,-10.315404455101973
8.708,-0.093406,-3.326682,0.048499,2372,14924,-12720,0.09200000000000053,-1.5603140209999924,-1.2146486059999928,-1.8633881789999895,-12.952692672160987,8.22117199605102,-10.486836167569972
8.802,0.633782,-1.757346,1.311872,2476,11904,-11760,0.09399999999999942,-1.5007385129999928,-1.3798391299999917,-1.7400722109999902,-13.093762092382986,8.091467117831021,-10.65040295540397
8.895,-0.380808,-0.635578,0.119751,4144,16772,-16124,0.09299999999999997,-1.5361536569999927,-1.4389478839999916,-1.7289353679999901,-13.236624382483985,7.957644964619022,-10.81119394462797
8.988,-1.339115,1.25499,0.680186,1044,9124,-11588,0.09299999999999997,-1.6606913519999926,-1.3222338139999916,-1.6656780699999902,-13.391068678219984,7.834677219917023,-10.96610200513797
9.079,1.217269,-1.090931,0.154179,1856,11240,-9732,0.09100000000000108,-1.5499198729999912,-1.4215085349999927,-1.65164778099999,-13.532111386662985,7.7053199432320225,-11.116401953208971
9.17,-0.209265,-0.930765,-0.409848,2284,11952,-11552,0.0909999999999993,-1.5689629879999911,-1.5062081499999922,-1.6889439489999898,-13.674887018570983,7.568255001582024,-11.27009585256797
9.264,0.546364,-0.294587,0.158071,3916,14912,-13272,0.09399999999999942,-1.5176047719999914,-1.533899327999992,-1.67408527499999,-13.817541867138981,7.424068464750025,-11.427459868417968
9.356,-0.546364,-0.655038,-0.098196,1072,10916,-11408,0.09200000000000053,-1.5678702599999916,-1.5941628239999923,-1.68311930699999,-13.961785931058982,7.277405484942025,-11.582306844661968
9.451,-0.361349,-0.306563,0.290396,2800,13648,-14208,0.09500000000000064,-1.602198414999992,-1.6232863089999925,-1.6555316869999896,-14.113994780483981,7.123193285587025,-11.739582354926968
9.545,-9.81,9.809701,7.05004,19372,32767,-32768,0.09399999999999942,-2.524338414999986,-0.7011744149999981,-0.9928279269999938,-14.351282591493979,7.057282890577025,-11.832908180064967
9.633,-9.81,8.613988,5.01098,400,-32768,3352,0.08799999999999919,-3.387618414999978,0.05685652899999494,-0.5518616869999978,-14.649393012013974,7.062286265129025,-11.881472008520966
9.718,-9.81,5.26545,0.535586,12548,-3344,12436,0.08500000000000085,-4.221468414999986,0.5044197789999995,-0.5063368769999974,-15.008217827288977,7.105161946344025,-11.924510643065966
9.806,7.58832,-3.928431,-0.762514,7456,5748,13604,0.08799999999999919,-3.553696254999992,0.15871785100000269,-0.5734381089999968,-15.320943097728973,7.119129117232025,-11.974973196657965
9.896,-1.218766,-0.771496,-1.577719,80,-5988,17696,0.09000000000000163,-3.6633851949999943,0.08928321100000143,-0.7154328189999994,-15.650647765278979,7.127164606222025,-12.039362150367966
9.987,-0.826282,-1.037043,-1.331631,4004,8220,14596,0.0909999999999993,-3.7385768569999938,-0.0050877019999978484,-0.8366112399999985,-15.990858259265975,7.126701625340026,-12.115493773207964
10.08,1.343307,-0.993634,-0.242196,3060,1596,15548,0.09299999999999997,-3.613649305999994,-0.09749566399999782,-0.8591354679999985,-16.326927644723973,7.117634528588026,-12.195393371731964
10.172,-0.871787,0.173938,0.099094,2708,3528,15268,0.09200000000000053,-3.693853709999994,-0.08149336799999772,-0.8500188199999985,-16.666762186043975,7.110137138732026,-12.273595103171964
10.264,-0.279918,-0.134121,0.161364,3808,7140,14684,0.09199999999999875,-3.719606165999994,-0.09383249999999756,-0.8351733319999987,-17.00896595331597,7.101504548732026,-12.350431049715963
10.356,-0.118853,-0.460443,-0.460143,1560,2136,15712,0.09200000000000053,-3.730540641999994,-0.1361932559999978,-0.8775064879999989,-17.35217569237997,7.088974769180027,-12.431161646611963
10.449,0.248483,-0.835263,-1.693279,3148,2912,15008,0.09299999999999997,-3.7074317229999942,-0.21387271499999777,-1.0349814349999988,-17.69696684261897,7.069084606685027,-12.527414920066963
10.542,0.232616,-1.440006,2.869234,4172,5476,15012,0.09299999999999997,-3.6857984349999944,-0.34779327299999774,-0.7681426729999989,-18.03974609707397,7.036739832296027,-12.598852188655963
10.633,0.453557,-0.895139,-0.4326,4200,4560,14580,0.0909999999999993,-3.6445247479999945,-0.42925092199999715,-0.8075092729999986,-18.371397849141967,6.997677998394027,-12.672335532498963
10.724,1.818419,-1.222957,0.204774,6944,8372,12500,0.09100000000000108,-3.4790486189999923,-0.5405400089999984,-0.7888748389999984,-18.68799127347097,6.948488857575027,-12.744123142847963
10.816,-1.393003,-0.467628,-0.960104,4616,6384,13988,0.09200000000000053,-3.607204894999993,-0.5835617849999987,-0.8772044069999989,-19.019854123810973,6.894801173355027,-12.824825948291963
10.909,0.360151,-1.890569,-1.804348,5864,2556,14528,0.09299999999999997,-3.573710851999993,-0.7593847019999986,-1.045008770999999,-19.35220923304697,6.824178396069027,-12.922011763994963
11.002,1.198707,-1.105002,-0.900827,7688,11548,11084,0.09299999999999997,-3.462231100999993,-0.8621498879999986,-1.1287856819999988,-19.67419672543997,6.743998456485027,-13.026988832420964
11.095,-1.515149,-0.342787,-0.626597,7084,5576,12388,0.09299999999999997,-3.6031399579999928,-0.8940290789999986,-1.187059202999999,-20.009288741533968,6.660853752138027,-13.137385338299964
11.188,-0.140707,-1.331332,-2.016607,8112,8900,12400,0.09299999999999997,-3.616225708999993,-1.0178429549999986,-1.3746036539999988,-20.345597732470967,6.5661943573230275,-13.265223478121964
11.283,-0.14909,-0.50475,-1.009501,5260,9716,11912,0.09499999999999886,-3.6303892589999927,-1.065794204999998,-1.4705062489999976,-20.690484712075964,6.464943907848029,-13.404921571776962
11.374,0.707728,-0.837359,-0.193997,6180,8244,11892,0.09100000000000108,-3.5659860109999917,-1.1419938739999989,-1.4881599759999977,-21.014989439076967,6.3610224653140275,-13.540344129592963
11.467,-0.451162,-0.560435,-0.294887,7348,10040,10700,0.09299999999999997,-3.6079440769999915,-1.194114328999999,-1.5155844669999976,-21.350528238237967,6.249969832717028,-13.681293485023962
11.561,0.691861,-1.474434,-1.359473,8096,11760,10876,0.09399999999999942,-3.542909142999992,-1.332711124999998,-1.6433749289999968,-21.683561697679963,6.124694986967029,-13.835770728349962
