ax,ay,az,gx,gy,gz,time
-0.082031,-0.076172,-1.053711,-4.943848,-1.037598,-0.061035,1.309219
-0.078125,-0.075684,-1.04541,-4.333496,-0.854492,0.061035,1.312374
-0.080566,-0.073242,-1.047852,-3.356934,-0.488281,0.427246,1.325736
-0.080078,-0.074707,-1.04834,-2.807617,-0.488281,0.244141,1.328866
-0.090332,-0.078613,-1.041016,-2.380371,-0.366211,0.427246,1.342195
-0.104004,-0.080566,-1.037598,-2.075195,0.061035,0.0,1.355518
-0.101074,-0.083008,-1.038574,-2.01416,0.061035,-0.183105,1.358612
-0.098633,-0.080078,-1.026367,-2.441406,0.488281,-1.098633,1.371975
-0.099121,-0.079102,-1.028809,-2.13623,0.671387,-1.342773,1.375113
-0.083984,-0.07959,-1.026367,-2.624512,0.366211,-1.464844,1.388431
-0.07666,-0.076172,-1.01416,-3.90625,-0.061035,-0.488281,1.401766
-0.072754,-0.072754,-1.026855,-4.272461,-0.12207,-0.183105,1.404912
-0.080566,-0.077148,-1.020508,-4.577637,-1.281738,0.732422,1.41828
-0.082031,-0.08252,-1.029785,-4.943848,-1.342773,0.793457,1.421429
-0.102539,-0.086426,-1.04248,-4.882813,-0.244141,0.12207,1.434784
-0.106445,-0.078613,-1.053223,-3.479004,1.037598,-1.037598,1.448126
-0.107422,-0.07666,-1.051758,-3.356934,1.159668,-1.342773,1.451258
-0.089355,-0.071777,-1.051758,-2.13623,1.525879,-1.708984,1.464578
-0.088379,-0.075684,-1.044434,-2.01416,1.464844,-1.403809,1.46771
-0.086426,-0.080566,-1.028809,-1.708984,0.915527,-0.793457,1.48102
-0.089355,-0.07959,-1.021484,-2.319336,0.244141,-0.427246,1.494377
-0.095215,-0.080078,-1.022461,-2.685547,0.183105,-0.488281,1.49751
-0.09082,-0.075195,-1.021484,-3.295898,-0.366211,-0.366211,1.510872
-0.089844,-0.077637,-1.023438,-3.112793,-0.427246,-0.610352,1.51402
-0.088867,-0.074707,-1.024902,-2.868652,0.183105,-0.488281,1.527399
-0.092773,-0.075195,-1.014648,-1.77002,0.305176,-0.915527,1.540739
-0.101074,-0.071289,-1.021973,-1.831055,0.12207,-1.220703,1.543872
-0.091797,-0.07666,-1.01416,-2.01416,-0.12207,-1.525879,1.557189
-0.088379,-0.073242,-1.019043,-2.075195,-0.244141,-1.220703,1.560331
-0.085938,-0.070801,-1.029785,-2.01416,-0.488281,-1.037598,1.573706
-0.081543,-0.072266,-1.04248,-0.610352,-0.427246,-0.427246,1.587101
-0.084961,-0.067871,-1.040039,-0.183105,-0.732422,-0.305176,1.590252
-0.082031,-0.070313,-1.039063,2.319336,-1.342773,0.0,1.603649
-0.080078,-0.069336,-1.034668,2.624512,-1.098633,0.305176,1.606745
-0.091309,-0.066895,-1.031738,3.845215,0.12207,0.305176,1.6201
-0.104492,-0.067871,-1.041016,4.638672,0.183105,-0.854492,1.63344
-0.108398,-0.067383,-1.038086,4.821777,0.427246,-1.342773,1.636562
-0.100586,-0.063477,-1.055664,7.385254,2.319336,-2.380371,1.649876
-0.098145,-0.058594,-1.050781,8.422852,2.624512,-2.563477,1.652993
-0.091309,-0.058105,-1.053711,11.96289,4.333496,-3.173828,1.666303
-0.086914,-0.046875,-1.019531,14.89258,4.272461,-3.051758,1.679618
-0.081055,-0.046875,-0.999512,15.38086,3.540039,-3.234863,1.682733
-0.074219,-0.04541,-0.973145,13.48877,0.732422,-2.13623,1.696041
-0.074707,-0.049316,-0.958008,12.08496,-0.061035,-1.708984,1.699154
-0.080078,-0.050293,-0.976074,5.67627,-1.281738,-0.12207,1.712527
-0.092285,-0.043945,-1.011719,2.990723,-3.479004,0.244141,1.725877
-0.090332,-0.049805,-1.026855,3.173828,-3.479004,0.12207,1.728993
-0.090332,-0.048828,-1.057617,5.79834,-2.01416,-0.366211,1.742292
-0.089844,-0.044922,-1.071289,6.713867,-1.464844,-0.976563,1.745438
-0.08252,-0.033203,-1.05957,9.94873,0.12207,-1.281738,1.758793
-0.077637,-0.029785,-1.038086,10.0708,0.671387,-1.037598,1.7721
-0.079102,-0.023926,-1.035645,9.460449,0.244141,-1.037598,1.775225
-0.088379,-0.016602,-1.051758,8.117676,-1.037598,-0.671387,1.788562
-0.09082,-0.013184,-1.047852,8.361816,-1.403809,-0.915527,1.791694
-0.098633,-0.007813,-1.065918,10.74219,-0.732422,-1.708984,1.805007
-0.091309,-0.001953,-1.056641,13.67188,0.549316,-2.990723,1.818297
-0.089844,-0.000488,-1.0625,14.52637,0.793457,-3.173828,1.821428
-0.075195,0.013184,-1.045898,16.96777,1.89209,-3.662109,1.834776
-0.073242,0.012207,-1.04248,17.21191,2.258301,-4.02832,1.837876
-0.069824,0.016113,-1.01123,17.76123,2.502441,-3.845215,1.851157
-0.064453,0.032715,-0.999512,14.70947,2.258301,-3.417969,1.864466
-0.062012,0.03418,-0.992676,13.61084,1.953125,-3.112793,1.867575
-0.078125,0.042969,-0.995605,10.19287,-0.183105,-2.441406,1.880875
-0.07959,0.041504,-1.001465,9.399414,-0.427246,-2.319336,1.883992
-0.097168,0.050781,-1.02832,7.507324,-1.586914,-2.624512,1.897325
-0.120605,0.049805,-1.069824,7.019043,0.732422,-4.150391,1.910665
-0.119629,0.054199,-1.071777,7.202148,1.037598,-4.760742,1.913764
-0.115234,0.063965,-1.096191,11.35254,2.929688,-6.774902,1.927072
-0.114258,0.061523,-1.096191,12.57324,3.417969,-7.141113,1.930179
-0.111328,0.054688,-1.089355,15.50293,4.150391,-8.728027,1.943515
-0.104492,0.0625,-1.094238,18.61572,5.67627,-9.277344,1.956787
-0.106445,0.060547,-1.089355,19.53125,5.859375,-9.094238,1.959887
-0.108398,0.061523,-1.054199,19.83643,3.234863,-9.94873,1.973197
-0.106934,0.063965,-1.05957,20.1416,2.807617,-10.00977,1.976296
-0.100098,0.062012,-1.108887,19.40918,4.760742,-10.25391,1.989646
-0.111816,0.05957,-1.162109,24.16992,9.399414,-12.08496,2.002979
-0.103516,0.062988,-1.16748,26.61133,9.765625,-12.45117,2.006088
-0.125,0.050293,-1.256836,37.23145,15.31982,-13.91602,2.019392
-0.12793,0.040527,-1.272461,39.97803,18.24951,-14.95361,2.02251
-0.139648,0.036133,-1.311035,55.78613,29.90723,-18.79883,2.035821
-0.130859,0.055176,-1.250977,74.8291,33.56934,-22.2168,2.049152
-0.122559,0.057617,-1.232422,78.85742,33.02002,-22.58301,2.052254
-0.089355,0.080078,-1.161621,91.43066,35.46143,-23.31543,2.065565
-0.085449,0.083984,-1.144531,92.77344,36.86523,-23.31543,2.068664
-0.060547,0.101074,-1.009766,95.52002,38.69629,-21.1792,2.081991
-0.065918,0.133789,-0.916016,91.06445,35.5835,-15.19775,2.095353
-0.076172,0.133789,-0.884277,88.0127,34.42383,-14.09912,2.098466
-0.124512,0.147461,-0.895996,73.6084,29.90723,-10.19287,2.111763
-0.14209,0.152832,-0.897461,70.3125,29.66309,-9.277344,2.114863
-0.194824,0.173828,-0.953613,62.43896,23.74268,-9.460449,2.128147
-0.198242,0.180664,-1.019043,62.43896,20.44678,-11.53564,2.141474
-0.195313,0.187012,-1.026855,63.04932,20.08057,-12.146,2.144579
-0.169922,0.209473,-1.04541,66.46729,20.87402,-12.20703,2.157884
-0.160645,0.210449,-1.048828,66.95557,21.11816,-11.96289,2.160981
-0.156738,0.216797,-1.041016,69.15283,23.98682,-11.59668,2.174295
-0.162598,0.214844,-1.030273,69.70215,26.97754,-10.68115,2.187586
-0.164551,0.216797,-1.041504,70.37354,27.83203,-10.74219,2.190683
-0.151367,0.222656,-1.042969,73.73047,29.84619,-11.04736,2.203988
-0.146973,0.224609,-1.039063,74.646,30.09033,-10.55908,2.207097
-0.133789,0.220703,-1.04248,78.06396,31.12793,-9.643555,2.220429
-0.120117,0.228516,-1.008789,81.604,29.23584,-7.93457,2.233778
