time,data,butter,laplace,gaussian,target
22.65,4003.0,4002.0568605662124,4001.4149734236294,4010.9915644370144,4002.8861422390346
22.68,4010.0,4002.370645573108,4002.3647177477337,4010.6514050655105,4003.1981287398107
22.71,4010.0,4002.6813044190476,4003.236330721596,4010.329145390294,4003.501591146427
22.74,4010.0,4002.988718532394,4004.043012505731,4010.0282984674764,4003.7981059232366
22.77,4011.0,4003.292776109107,4004.7893376350303,4009.749428526446,4004.0880975034333
22.8,4011.0,4003.593372483156,4005.4809060687226,4009.4929069668324,4004.372079290081
22.83,4011.0,4003.8904101957028,4006.1217141236452,4009.2591264732705,4004.650412216254
22.86,4007.0,4004.183798702239,4006.70934534874,4009.048310951611,4004.9228045918267
22.89,4007.0,4004.473453169687,4007.2369502528913,4008.861691039905,4005.1886266650295
22.919999999999998,4014.0,4004.759293155246,4007.7124212570347,4008.6987104736195,4005.448547697262
22.95,4014.0,4005.0412430549954,4008.1566866423846,4008.5584129739846,4005.7045044056335
22.98,4014.0,4005.319234139637,4008.5797649893725,4008.4415613196143,4005.9575199426085
23.009999999999998,3994.0,4005.5932047669967,4008.9570960036185,4008.348044500649,4006.205077864024
23.04,3994.0,4005.863095665424,4009.24227083556,4008.278863083944,4006.4425899242906
23.07,3994.0,4006.1288423587775,4009.4194389103136,4008.232968656976,4006.6683146437513
23.099999999999998,4018.0,4006.39037149303,4009.529755067662,4008.209082077869,4006.886180908977
23.13,4018.0,4006.6476052058133,4009.6398766731922,4008.2073787767054,4007.1028097096405
23.16,4006.0,4006.9004689105113,4009.764190096941,4008.2273759257537,4007.319531730679
23.189999999999998,4006.0,4007.1488939688807,4009.8706493226655,4008.2683148897163,4007.533011596343
23.22,4006.0,4007.3928145214563,4009.94583216357,4008.3298702222555,4007.7418218557477
23.25,4007.0,4007.6321643831807,4009.9941438853334,4008.411675869571,4007.946313482035
23.279999999999998,4007.0,4007.8668763185533,4010.0208678741674,4008.513788464795,4008.1469666887388
23.31,4007.0,4008.0968821738406,4010.0295547988185,4008.6363693948197,4008.3440981584367
23.34,4003.0,4008.322112648405,4010.0172302943083,4008.7799657009464,4008.53740971825
23.369999999999997,4003.0,4008.5424961571066,4009.976390156476,4008.9459184342286,4008.726227784756
23.4,4012.0,4008.7579576973603,4009.9166747833215,4009.136031772338,4008.911636813454
23.43,4012.0,4008.968419852443,4009.8628827701245,4009.3528276081092,4009.096306919778
23.46,4012.0,4009.173805626617,4009.8257955643535,4009.5992482798265,4009.281548885712
23.49,4016.0,4009.374040676122,4009.8086793309653,4009.878828722373,4009.467983346232
23.52,4016.0,4009.569054631596,4009.8193022528662,4010.1956237745703,4009.6567363080208
23.55,4016.0,4009.7587823646168,4009.859445728813,4010.5535347384566,4009.8483239384204
23.58,4015.0,4009.943164711222,4009.924329780698,4010.957524653078,4010.042717212355
