time,s2,s3,s1
240.039,"{'ax': -0.3998317, 'ay': -7.357382, 'wz': -0.7123875, 'az': -0.004788403, 'wx': 0.1704028, 'wy': -0.2729908}","{'ax': -0.308852, 'ay': -7.376535, 'wz': -0.6967994, 'az': 0.1364695, 'wx': 0.1672052, 'wy': -0.004796324}","{'ax': 11730, 'ay': 12050, 'wz': 11058, 'az': 12307, 'wx': 10082, 'wy': 10610}"
240.059,"{'ax': -0.308852, 'ay': -8.678981, 'wz': -0.3598576, 'az': 1.070208, 'wx': 0.06768147, 'wy': -0.08966463}","{'ax': -0.308852, 'ay': -8.693346, 'wz': -0.3593246, 'az': 1.070208, 'wx': 0.06568301, 'wy': -0.08753293}","{'ax': 11778, 'ay': 12146, 'wz': 11186, 'az': 12403, 'wx': 10242, 'wy': 10738}"
240.079,"{'ax': -2.454057, 'ay': -10.13226, 'wz': -0.1845253, 'az': 4.278439, 'wx': 0.2300904, 'wy': 0.03397397}","{'ax': -2.619257, 'ay': -9.885659, 'wz': -0.2090398, 'az': 2.401384, 'wx': 0.2360857, 'wy': 0.03264165}","{'ax': 11602, 'ay': 12194, 'wz': 11202, 'az': 12451, 'wx': 10274, 'wy': 10754}"
240.099,"{'ax': -3.682282, 'ay': -8.279149, 'wz': -0.1410919, 'az': 1.120486, 'wx': -0.07021286, 'wy': 0.06275192}","{'ax': -3.718195, 'ay': -7.364564, 'wz': -0.138294, 'az': 1.142034, 'wx': -0.07287749, 'wy': 0.06701532}","{'ax': 11570, 'ay': 11922, 'wz': 11186, 'az': 12339, 'wx': 10226, 'wy': 10738}"
240.119,"{'ax': -3.718195, 'ay': -7.970297, 'wz': -0.00652833, 'az': 1.029507, 'wx': -0.01718683, 'wy': -0.01292343}","{'ax': -3.833117, 'ay': -8.046912, 'wz': -0.03477335, 'az': 0.830788, 'wx': -0.02038438, 'wy': -0.009192955}","{'ax': 11474, 'ay': 12066, 'wz': 11058, 'az': 12323, 'wx': 10050, 'wy': 10578}"
240.139,"{'ax': -0.1939303, 'ay': -7.991845, 'wz': 0.2546049, 'az': 0.6081272, 'wx': -0.01825268, 'wy': -0.01398928}","{'ax': -0.2322376, 'ay': -7.97748, 'wz': 0.2514074, 'az': 0.6009446, 'wx': -0.008660031, 'wy': -0.01292343}","{'ax': 11522, 'ay': 11858, 'wz': 11122, 'az': 12419, 'wx': 10178, 'wy': 10658}"
240.159,"{'ax': -5.21936, 'ay': -7.970297, 'wz': 0.04250077, 'az': 0.533907, 'wx': -0.04116846, 'wy': -0.01079173}","{'ax': -5.307945, 'ay': -7.972692, 'wz': 0.03610567, 'az': 0.6009446, 'wx': -0.03530628, 'wy': -0.009859112}","{'ax': 11682, 'ay': 12002, 'wz': 11298, 'az': 12291, 'wx': 10130, 'wy': 10882}"
240.179,"{'ax': -4.915296, 'ay': -7.395689, 'wz': -0.001199081, 'az': 0.6033388, 'wx': -0.009192955, 'wy': 0.03810413}","{'ax': -4.920084, 'ay': -7.405266, 'wz': -0.0001332312, 'az': 0.4548983, 'wx': -0.0001332312, 'wy': 0.03983614}","{'ax': 11618, 'ay': 11986, 'wz': 11234, 'az': 12483, 'wx': 10306, 'wy': 10786}"
240.199,"{'ax': -4.953603, 'ay': -7.376535, 'wz': -0.01851914, 'az': 0.5315128, 'wx': -0.05235988, 'wy': 0.1020551}","{'ax': -4.908113, 'ay': -7.417237, 'wz': -0.02797856, 'az': 0.533907, 'wx': -0.05129403, 'wy': 0.1017887}","{'ax': 11570, 'ay': 11906, 'wz': 11186, 'az': 12242, 'wx': 10226, 'wy': 10738}"
240.219,"{'ax': -4.331111, 'ay': -7.989451, 'wz': -0.1369617, 'az': 0.6105214, 'wx': -0.01718683, 'wy': 0.06754825}","{'ax': -4.426879, 'ay': -8.046912, 'wz': -0.1369617, 'az': 0.5722142, 'wx': -0.01718683, 'wy': 0.06808116}","{'ax': 11442, 'ay': 12034, 'wz': 11058, 'az': 12339, 'wx': 10066, 'wy': 10594}"
