ax,ay,az,gx,gy,gz,time
202,-2798,-102,8732,-316,14228,1.791574
-91,-2681,-92,8808,-268,13980,1.804491
-172,-2625,-37,8768,-308,13684,1.807229
-193,-2555,-73,8824,-352,13724,1.809965
-204,-2221,-6,8828,-472,13160,1.822881
-182,-2074,45,8808,-584,13036,1.825621
-50,-1300,-41,8628,-580,12904,1.838579
-68,-1087,-53,8568,-588,13096,1.841316
-48,-920,-110,8540,-540,13100,1.844052
-66,-607,-224,8712,-496,13728,1.857022
-156,-610,-246,8756,-404,13744,1.859766
-246,-605,-236,9044,-204,13792,1.872713
-303,-607,-172,9076,-188,13812,1.875453
-233,-665,-20,9148,-308,13504,1.888445
-167,-735,22,9044,-372,13452,1.891182
-96,-814,62,9084,-420,13448,1.893913
301,-805,175,9008,-452,12980,1.906843
382,-685,249,8952,-540,12904,1.909558
517,-354,220,8604,-552,13072,1.922475
562,-286,166,8584,-500,13124,1.925181
543,-142,164,8616,-488,13088,1.927897
373,254,155,8608,-428,13544,1.940807
297,245,176,8600,-368,13752,1.943493
147,336,164,8624,-348,13852,1.956416
168,352,165,8736,-388,13824,1.959103
123,387,185,8692,-392,13888,1.961793
195,220,215,8688,-424,14132,1.974696
194,141,210,8720,-540,14264,1.977384
73,-246,340,8836,-436,14308,1.990267
8,-245,338,8812,-392,14196,1.992973
-64,-277,375,8784,-464,14096,1.995679
-348,-46,502,8616,-520,13972,2.008629
-392,-53,504,8492,-656,13804,2.011348
-570,440,420,7992,-920,13364,2.024293
-595,541,371,7880,-968,13168,2.026997
-559,625,343,7780,-992,13280,2.0297
-460,871,31,7636,-928,13048,2.042626
-413,863,-31,7584,-912,13116,2.045331
-212,887,-384,7824,-820,12752,2.058231
-140,922,-410,7852,-740,12768,2.060955
-76,972,-480,7984,-748,12672,2.063678
419,1133,-624,8292,-720,12508,2.076594
593,1240,-623,8408,-664,12444,2.079301
1215,1338,-606,8696,-568,13256,2.092208
1312,1337,-577,8748,-512,13404,2.094912
1389,1351,-527,8796,-388,13440,2.097619
1703,1200,-330,9060,-140,13804,2.11054
1685,1172,-241,9116,-64,14048,2.113244
1388,991,55,9052,-16,14540,2.126199
1306,974,171,8972,-16,14452,2.128897
1252,987,209,8972,8,14692,2.131588
851,1002,466,8684,-56,14604,2.144502
760,1068,535,8576,-168,14544,2.147192
550,1187,549,7876,-512,14228,2.160068
511,1236,541,7848,-568,14192,2.16276
465,1239,471,7736,-588,14160,2.165447
399,1405,220,7268,-768,13956,2.178319
357,1418,163,7224,-740,13988,2.180992
450,1588,-157,7148,-760,13476,2.193912
461,1655,-220,7188,-748,13440,2.196619
489,1764,-265,7236,-788,13276,2.199326
751,2412,-509,7428,-640,13104,2.212233
884,2515,-572,7484,-572,13276,2.21494
1328,2537,-554,7872,-468,14028,2.227847
1406,2486,-545,7972,-492,13988,2.230558
1477,2398,-554,8012,-408,14384,2.233262
1601,1857,-365,8236,-292,15060,2.246149
1573,1784,-276,8232,-244,15080,2.248865
1169,1423,-94,8072,-232,15436,2.261796
1064,1357,-35,8016,-224,15308,2.264501
947,1363,-2,7944,-256,15332,2.267208
394,1420,50,7740,-348,15200,2.2801
302,1444,12,7696,-372,15092,2.282793
-115,1795,12,7396,-548,14620,2.295737
-130,1846,-27,7324,-600,14464,2.298443
-152,1901,-44,7180,-624,14544,2.301165
-153,2049,-236,6836,-640,14032,2.314056
-124,2109,-288,6888,-684,14076,2.316784
156,2421,-481,6984,-648,13644,2.329698
244,2516,-543,6964,-608,13576,2.332408
333,2513,-572,6972,-756,13528,2.335113
740,2629,-642,6988,-800,14100,2.348
773,2661,-702,7004,-788,14184,2.350703
861,2576,-772,7092,-392,15008,2.363658
829,2496,-775,7156,-308,15204,2.366363
427,2015,-752,7124,-76,15792,2.379285
285,1829,-722,7244,-84,15852,2.381991
215,1740,-718,7196,-92,15952,2.384698
-406,1293,-619,7604,-56,15616,2.397631
-494,1218,-573,7760,16,15464,2.400351
-852,1154,-153,7888,-80,15112,2.41331
-949,1211,-75,7852,-88,15072,2.41603
-972,1281,-3,7780,-224,14812,2.418757
-1087,1599,173,6968,-572,14368,2.431695
-1118,1708,210,6808,-572,14404,2.434404
-1087,1884,103,6224,-804,14116,2.447335
-1097,1966,-4,6080,-808,14076,2.450041
-1055,2035,-51,5976,-852,14060,2.452766
-538,2030,-498,5480,-868,14040,2.465667
-382,1824,-640,5512,-904,14300,2.468393
244,541,-1133,6004,-584,15224,2.481348
317,244,-1167,6164,-496,15424,2.484051
383,-107,-1203,6328,-436,15400,2.48676
262,-1255,-1146,7152,308,15424,2.499715
196,-1392,-1085,7276,288,15184,2.502419
30,-1011,-633,7792,268,14208,2.515327
-14,-821,-538,7820,128,14068,2.518034
-19,-624,-454,7872,60,14000,2.520759
80,205,-38,7472,-164,13896,2.533743
101,364,41,7328,-220,13872,2.536447
88,824,68,6544,-380,14264,2.549368
33,908,4,6388,-420,14312,2.552055
20,981,-27,6308,-404,14324,2.554745
-320,1745,-136,6104,-496,14120,2.567628
-342,1942,-159,5932,-544,13920,2.570348
-354,2724,-382,5444,-912,14044,2.583272
-331,2835,-503,5408,-832,13964,2.585994
-260,2914,-538,5432,-972,14120,2.588717
137,2653,-958,5424,-908,14528,2.601693
278,2471,-1035,5436,-776,14532,2.604404
918,1555,-1175,5964,-580,14832,2.617285
1011,1362,-1172,6160,-508,14788,2.619991
1120,1179,-1163,6276,-468,14840,2.622699
1389,588,-1007,6464,-236,15052,2.635602
1373,517,-986,6584,-168,15220,2.638305
1170,520,-602,6712,-84,15508,2.651191
1103,577,-551,6680,-196,15392,2.653902
688,1179,-250,6220,-424,15512,2.666784
594,1358,-210,6060,-396,15416,2.66949
488,1446,-223,6024,-528,15604,2.672194
133,1890,-276,5440,-604,15752,2.685067
45,1844,-293,5272,-688,15812,2.687774
-242,1420,-539,5136,-528,16108,2.700674
-332,1255,-589,5212,-564,16104,2.703398
-380,1199,-665,5268,-520,15888,2.706119
-598,687,-789,5552,-396,15516,2.719064
-580,601,-791,5532,-396,15404,2.721792
-421,315,-795,5824,-508,14708,2.734744
-304,191,-831,5812,-500,14772,2.737464
-218,194,-798,5800,-520,14716,2.740184
292,27,-829,5788,-580,14352,2.75308
420,-28,-827,5800,-472,14188,2.755791
821,41,-822,5716,-496,14072,2.768747
893,165,-853,5724,-480,14228,2.771453
942,226,-849,5776,-540,14336,2.774156
1011,644,-860,5632,-448,14808,2.787097
960,723,-859,5568,-460,14920,2.789805
518,1188,-937,5324,-464,15204,2.802738
387,1289,-998,5320,-460,15276,2.805443
232,1373,-1021,5272,-488,15280,2.808151
-164,1843,-1256,5144,-444,15080,2.82103
-228,1941,-1342,5092,-464,15108,2.823756
-296,1987,-1527,5288,-360,14968,2.83669
-277,1946,-1560,5248,-348,15040,2.839416
-27,1760,-1643,5660,-280,14980,2.852353
41,1739,-1619,5828,-168,14852,2.855076
95,1682,-1620,5868,-128,14840,2.857784
400,1706,-1329,6300,-28,14928,2.870684
495,1761,-1305,6440,-24,15056,2.873392
665,1663,-860,6508,216,15516,2.886294
